mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,67.6711,100000021.367233,2706846,8473743,783947,1922899
1.200000,76.1965,100000045.988478,3047860,10317187,1167015,1880845
1.300000,86.379,100000016.261909,3455162,15445132,1635986,1819176
1.400000,96.2911,100000044.442755,3851646,24504977,2109669,1741977
1.500000,104.655,100000003.484176,4186192,39006898,2527228,1658964
1.600000,110.236,100000039.887404,4409430,60814889,2832053,1577377
1.700000,113.834,100000000.827635,4553356,91743622,3049292,1504064
1.800000,115.274,100000045.007064,4610952,133206707,3169441,1441511
1.900000,116.179,100000050.425652,4647159,185303020,3256108,1391051
2.000000,116.364,100000034.447539,4654558,247436817,3303828,1350730
2.100000,116.33,100000023.987473,4653217,317367878,3333649,1319568
2.200000,116.465,100000026.165316,4658602,392046692,3361957,1296645
2.300000,116.549,100000034.497377,4661971,468089558,3381976,1279995
2.400000,116.684,100000055.603117,4667368,542526547,3398856,1268512
2.500000,117.252,100000003.417468,4690096,613660365,3429616,1260480
2.600000,117.692,100000080.113697,4707676,679902437,3452157,1255519
2.700000,117.988,100000033.715262,4719531,740606972,3467254,1252277
2.800000,118.372,100000010.536419,4734892,795562753,3484536,1250356
2.900000,118.766,100000071.295928,4750643,845350934,3501309,1249334
3.000000,118.998,100000003.141841,4759936,890153118,3511168,1248768
