mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,65.8838,100000069.124001,2635353,6971626,709357,1925996
1.200000,69.6517,100000038.570756,2786070,6952514,894925,1891145
1.300000,73.8178,100000046.248681,2952712,8389425,1112676,1840036
1.400000,77.4772,100000044.765459,3099091,10701958,1323292,1775799
1.500000,80.0034,100000024.220003,3200138,13782786,1493283,1706855
1.600000,81.2661,100000066.508836,3250645,17582905,1611808,1638837
1.700000,81.4021,100000054.460902,3256085,22052603,1681131,1574954
1.800000,80.7654,100000041.757444,3230618,27103746,1712408,1518210
1.900000,79.7321,100000032.957285,3189287,32629038,1719701,1469586
2.000000,78.5091,100000049.225471,3140364,38452230,1711652,1428712
2.100000,77.2929,100000020.784780,3091716,44458318,1697203,1394513
2.200000,76.1566,100000027.569775,3046264,50549194,1679433,1366831
2.300000,75.2409,100000044.301105,3009639,56571747,1665464,1344175
2.400000,74.3864,100000056.823365,2975459,62446679,1649841,1325618
2.500000,73.6079,100000000.101745,2944318,68061322,1633482,1310836
2.600000,73.1616,100000005.507651,2926465,73394595,1627262,1299203
2.700000,72.5457,100000067.947580,2901828,78411725,1611812,1290016
2.800000,72.164,100000034.731054,2886563,83120631,1604239,1282324
2.900000,71.8285,100000070.463558,2873144,87427259,1596319,1276825
3.000000,71.6839,100000070.673543,2867358,91470673,1595328,1272030
