alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,436.002565,1000039.988463,43602,123739,27061,16541,0.620637,0.379363
0.200000,560.000246,1000017.417510,56001,336445,41191,14809,0.735540,0.264442
0.300000,760.437014,1000017.076477,76045,1032752,62746,13298,0.825117,0.174870
0.400000,975.233756,1000078.179826,97531,3176901,85752,11779,0.879228,0.120772
0.500000,1303.918375,1000001.246005,130392,9714586,120195,10196,0.921797,0.078195
0.600000,1735.232337,1000004.415920,173524,29631901,164943,8580,0.950549,0.049446
0.700000,2149.311151,1000041.338438,214940,85728712,208100,6840,0.968177,0.031823
0.800000,2470.591048,1000011.718516,247062,228172788,241965,5096,0.979370,0.020626
0.900000,2604.859343,1000030.964119,260494,547142306,257156,3338,0.987186,0.012814
1.000000,2443.647731,1000000.928554,244365,1125094169,242376,1988,0.991861,0.008135
1.100000,1841.647234,1000001.502129,184165,1985981406,183227,937,0.994907,0.005088
1.200000,1179.749995,1000000.004205,117975,2998827170,117557,417,0.996457,0.003535
1.300000,738.790000,1000000.000372,73879,4041957175,73736,142,0.998064,0.001922
1.400000,400.570000,1000000.000834,40057,5006476645,40006,50,0.998727,0.001248
1.500000,318.780000,1000000.000012,31878,5869974101,31856,21,0.999310,0.000659
1.600000,230.810000,1000000.000277,23081,6627560501,23075,5,0.999740,0.000217
1.700000,237.750000,1000000.000213,23775,7295556375,23770,4,0.999790,0.000168
