alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,4924.771178,5000029.262324,24624,70189,16441,8183, 0.667682, 0.332318
0.200000,7007.423179,5000126.166742,35038,234960,27600,7437, 0.787716, 0.212255
0.300000,10050.336562,5000031.560278,50252,910152,43609,6642, 0.867806, 0.132174
0.400000,14827.168699,5000550.105450,74144,3626075,68214,5930, 0.920021, 0.079979
0.500000,19574.713415,5000328.634324,97880,14146601,92741,5138, 0.947497, 0.052493
0.600000,25888.385036,5000002.890151,129442,55414840,125158,4283, 0.966904, 0.033088
0.700000,33205.545245,5000038.360313,166029,203824756,162655,3374, 0.979678, 0.020322
0.800000,40118.016003,5000272.196501,200601,688778922,198151,2450, 0.987787, 0.012213
0.900000,44164.136087,5000256.306720,220832,2000302534,219209,1623, 0.992651, 0.007349
1.000000,36025.076699,5000350.214470,180138,4795129122,179301,836, 0.995354, 0.004641
1.100000,26096.999999,5000000.000122,130485,9231818768,130114,370, 0.997157, 0.002836
1.200000,16004.999998,5000000.000599,80025,14648812624,79901,123, 0.998450, 0.001537
1.300000,9357.599991,5000000.004909,46788,20004639681,46740,47, 0.998974, 0.001005
1.400000,5334.200000,5000000.000142,26671,24986386859,26659,11, 0.999550, 0.000412
1.500000,2159.400000,5000000.000205,10797,29322682688,10792,4, 0.999537, 0.000370
1.600000,1236.600000,5000000.000059,6183,33138379237,6182,0, 0.999838, 0.000000
1.700000,1896.800000,5000000.000016,9484,36474270067,9483,0, 0.999895, 0.000000
