alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,364.377795,1000006.051178,36438,98658,19813,16625,0.543746,0.456254
0.200000,395.961738,1000020.865895,39597,216622,24615,14981,0.621638,0.378337
0.300000,431.591358,1000020.023958,43160,516720,29738,13422,0.689018,0.310982
0.400000,471.248200,1000003.820285,47125,1267235,35283,11841,0.748711,0.251268
0.500000,493.509499,1000001.014826,49351,3135998,39089,10261,0.792061,0.207919
0.600000,515.708398,1000003.106655,51571,7508964,42957,8613,0.832968,0.167012
0.700000,530.365743,1000102.301246,53042,17350569,46111,6931,0.869330,0.130670
0.800000,508.420000,1000000.000922,50842,37794589,45559,5282,0.896090,0.103890
0.900000,450.158157,1000026.308949,45017,75207283,41345,3672,0.918431,0.081569
1.000000,370.850000,1000000.001046,37085,135383938,34758,2326,0.937252,0.062721
1.100000,266.019956,1000000.165379,26602,216690382,25305,1296,0.951244,0.048718
1.200000,201.869802,1000000.981476,20187,311418285,19486,700,0.965275,0.034676
1.300000,119.830000,1000000.000546,11983,409855128,11669,313,0.973796,0.026120
1.400000,66.340000,1000000.003452,6634,504021512,6507,126,0.980856,0.018993
1.500000,41.060000,1000000.000783,4106,587417989,4038,67,0.983439,0.016318
1.600000,27.760000,1000000.001020,2776,663176005,2749,26,0.990274,0.009366
1.700000,19.780000,1000000.000125,1978,729456811,1964,13,0.992922,0.006572
