alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,38.515051,1004.802002,387,795,198,189,0.511628,0.488372
0.200000,41.698060,1000.046516,417,1275,251,166,0.601918,0.398082
0.300000,44.082150,1004.941910,443,1819,292,151,0.659142,0.340858
0.400000,49.293996,1004.179096,495,2849,365,130,0.737374,0.262626
0.500000,51.597364,1000.051097,516,4258,397,118,0.769380,0.228682
0.600000,46.193321,1000.144586,462,5849,360,102,0.779221,0.220779
0.700000,47.048348,1001.097853,471,8903,389,81,0.825902,0.171975
0.800000,46.568293,1000.680872,466,13005,397,68,0.851931,0.145923
0.900000,49.382782,1002.373663,495,18024,444,50,0.896970,0.101010
1.000000,55.789560,1000.187127,558,24078,517,41,0.926523,0.073477
1.100000,45.097767,1000.049509,451,29308,416,34,0.922395,0.075388
1.200000,25.099603,1000.015820,251,38413,230,20,0.916335,0.079681
1.300000,33.999932,1000.002002,340,47331,326,13,0.958824,0.038235
1.400000,49.599816,1000.003715,496,52903,482,13,0.971774,0.026210
1.500000,23.699829,1000.007206,237,59743,229,7,0.966245,0.029536
1.600000,29.499741,1000.008786,295,67753,289,5,0.979661,0.016949
1.700000,14.796308,1000.249540,148,72939,146,1,0.986486,0.006757

 d=1.0e-02_s=1.0e-02_r=1.0e-02
