alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,408.732667,1000017.941955,40874,123045,24312,16562,0.594804,0.405196
0.200000,481.712717,1000015.118786,48172,334386,33216,14956,0.689529,0.310471
0.300000,583.975288,1000059.441175,58401,1015619,44999,13402,0.770518,0.229482
0.400000,705.495702,1000048.615498,70553,3128025,58660,11893,0.831432,0.168568
0.500000,837.894964,1000006.010887,83790,9826581,73653,10137,0.879019,0.120981
0.600000,998.217110,1000002.895571,99822,29531468,91257,8564,0.914197,0.085793
0.700000,1093.809808,1000000.175933,109381,85324136,102568,6812,0.937713,0.062278
0.800000,1197.063636,1000005.316142,119707,228743977,114647,5059,0.957730,0.042262
0.900000,1137.557799,1000001.935150,113756,547328710,110418,3337,0.970656,0.029335
1.000000,950.358524,1000001.552909,95036,1126891584,93046,1990,0.979061,0.020939
1.100000,631.799995,1000000.007718,63180,1984642635,62234,945,0.985027,0.014957
1.200000,447.870000,1000000.000893,44787,2995470858,44369,417,0.990667,0.009311
1.300000,204.950000,1000000.000141,20495,4041113864,20359,135,0.993364,0.006587
1.400000,102.500000,1000000.000123,10250,5005480987,10195,54,0.994634,0.005268
1.500000,103.810000,1000000.004718,10381,5867053644,10358,22,0.997784,0.002119
1.600000,64.670000,1000000.000084,6467,6627610929,6460,6,0.998918,0.000928
1.700000,14.930000,1000000.000057,1493,7294299891,1490,2,0.997991,0.001340
