alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,48.505537,1000001.295681,485056,1212779,301046,184009,0.620642,0.379356
0.200000,61.080568,1000002.163664,610807,2710300,447102,163705,0.731986,0.268014
0.300000,79.370285,1000002.712752,793705,6481296,649307,144398,0.818071,0.181929
0.400000,103.698304,1000000.925359,1036984,15756190,911310,125674,0.878808,0.121192
0.500000,133.054700,1000000.002103,1330547,37940592,1223437,107109,0.919499,0.080500
0.600000,167.573438,1000001.563148,1675737,88598116,1587317,88420,0.947235,0.052765
0.700000,203.687078,1000000.107014,2036871,198356017,1966558,70312,0.965480,0.034520
0.800000,234.186391,1000003.029597,2341871,417402077,2289305,52566,0.977554,0.022446
0.900000,250.530899,1000000.005354,2505309,807951164,2469010,36298,0.985511,0.014488
1.000000,244.027800,1000000.000723,2440278,1411167219,2417701,22576,0.990748,0.009251
1.100000,211.578399,1000000.003603,2115784,2220774153,2103054,12729,0.993983,0.006016
1.200000,171.034200,1000000.000012,1710342,3156634842,1703815,6526,0.996184,0.003816
1.300000,124.655287,1000000.103005,1246553,4121872033,1243455,3097,0.997515,0.002484
1.400000,92.557700,1000000.000270,925577,5043313351,924142,1434,0.998450,0.001549
1.500000,61.535800,1000000.000326,615358,5885119907,614754,603,0.999018,0.000980
1.600000,41.199900,1000000.000067,411999,6634486613,411749,249,0.999393,0.000604
1.700000,28.052700,1000000.000757,280527,7297202852,280412,114,0.999590,0.000406
