alpha,eta,distance,targets,number-of-flights,inside,outside,inside-percent,outside-percent
0.100000,135.597149,1000006.275843,135598,262180,81611,53987,0.601860,0.398140
0.200000,155.357414,1000010.207859,155359,409307,106398,48961,0.684853,0.315147
0.300000,176.302800,1000001.136687,176303,683116,132458,43845,0.751309,0.248691
0.400000,193.864894,1000005.705795,193866,1161510,155217,38648,0.800641,0.199354
0.500000,210.016874,1000005.362530,210018,1984289,176463,33555,0.840228,0.159772
0.600000,221.181602,1000001.801172,221182,3385761,192839,28342,0.871857,0.128139
0.700000,235.374899,1000000.430666,235375,5583125,211916,23458,0.900334,0.099662
0.800000,236.672541,1000001.937788,236673,8878277,218112,18560,0.921575,0.078420
0.900000,226.492997,1000000.011372,226493,13597747,212409,14083,0.937817,0.062179
1.000000,210.696992,1000000.036876,210697,19729867,200491,10205,0.951561,0.048434
1.100000,193.632000,1000000.000189,193632,27033702,186595,7036,0.963658,0.036337
1.200000,167.040507,1000002.950541,167041,35141045,162427,4613,0.972378,0.027616
1.300000,141.980998,1000000.012436,141981,43582183,139075,2905,0.979532,0.020460
1.400000,112.261999,1000000.009928,112262,51891000,110527,1734,0.984545,0.015446
1.500000,90.013999,1000000.011121,90014,59616704,88954,1059,0.988224,0.011765
1.600000,68.569000,1000000.004384,68569,66711967,67941,627,0.990841,0.009144
1.700000,55.614000,1000000.008831,55614,73142586,55272,341,0.993850,0.006132
