alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,392.956314,1000154.986318,12347,30233,7150,5197, 0.579088, 0.420912
0.200000,450.923361,1000340.586446,14171,53942,9406,4765, 0.663750, 0.336250
0.300000,490.494921,1000171.818355,15412,112533,11163,4249, 0.724306, 0.275694
0.400000,547.552094,1000589.682677,17212,242915,13440,3772, 0.780851, 0.219149
0.500000,620.500514,1000584.880810,19505,549303,16216,3289, 0.831377, 0.168623
0.600000,620.500514,1000584.880810,19505,549303,16216,3289, 0.831377, 0.168623
0.700000,699.728459,1000062.874538,21984,2399900,19703,2281, 0.896243, 0.103757
0.800000,700.404010,1000325.355281,22011,4812067,20253,1758, 0.920131, 0.079869
0.900000,661.127056,1000292.778490,20776,8826965,19542,1234, 0.940605, 0.059395
1.000000,479.083084,1000077.140276,15052,14900851,14256,796, 0.947117, 0.052883
1.100000,410.354292,1000181.490079,12894,22905072,12387,507, 0.960679, 0.039321
1.200000,313.546845,1002703.995703,9877,32265470,9606,271, 0.972563, 0.027437
1.300000,233.998846,1000640.626186,7356,41381047,7219,137, 0.981376, 0.018624
1.400000,122.960453,1017624.877295,3931,51525581,3865,66, 0.983210, 0.016790
1.500000,107.584079,1023417.133984,3459,60390270,3430,29, 0.991616, 0.008384
1.600000,82.998788,1037015.062349,2704,68829437,2687,17, 0.993713, 0.006287
1.700000,39.420944,1162747.994550,1440,84865601,1432,8, 0.994444, 0.005556
