alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,37980.058166,1000525.060653,380,1045,212,168, 0.557895, 0.442105
0.200000,47943.216505,1005355.992219,482,2900,335,147, 0.695021, 0.304979
0.300000,57648.859552,1004356.381889,579,8394,447,132, 0.772021, 0.227979
0.400000,53157.705019,1002676.845835,533,28380,410,122, 0.769231, 0.228893
0.500000,80642.978168,1004427.190561,810,82107,693,117, 0.855556, 0.144444
0.600000,68039.795130,1000884.847905,681,266799,593,87, 0.870778, 0.127753
0.700000,94563.527892,1003558.159427,949,812631,872,77, 0.918862, 0.081138
0.800000,70999.994148,1000000.082417,710,2319031,662,47, 0.932394, 0.066197
0.900000,57899.998824,1000000.020319,579,5219471,542,36, 0.936097, 0.062176
1.000000,34262.533645,1001093.508014,343,11374235,325,17, 0.947522, 0.049563
1.100000,30299.980228,1000000.652529,303,20131151,293,9, 0.966997, 0.029703
1.200000,23799.998672,1000000.055810,238,30507299,234,3, 0.983193, 0.012605
1.300000,23399.999959,1000000.001761,234,40090397,230,3, 0.982906, 0.012821
1.400000,28899.998501,1000000.051868,289,49892882,287,1, 0.993080, 0.003460
1.500000,5199.997561,1000000.468996,52,58633724,51,0, 0.980769, 0.000000
1.600000,23899.999999,1000000.000046,239,66220447,238,0, 0.995816, 0.000000
1.700000,12499.999783,1000000.017331,125,72950052,124,0, 0.992000, 0.000000
