alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,161.075902,1000029.895277,50605,133371,34190,16415, 0.675625, 0.324375
0.200000,225.115380,1000055.395603,70726,343223,55814,14912, 0.789158, 0.210842
0.300000,314.386221,1000047.138744,98772,1027784,85440,13332, 0.865022, 0.134978
0.400000,453.529700,1000024.161180,142484,3176197,130650,11834, 0.916945, 0.083055
0.500000,622.768443,1000048.675742,195658,9800347,185393,10265, 0.947536, 0.052464
0.600000,622.768443,1000048.675742,195658,9800347,185393,10265, 0.947536, 0.052464
0.700000,1068.439380,1000160.487540,335714,86251360,328909,6805, 0.979730, 0.020270
0.800000,1270.254564,1000074.573042,399092,228952868,394147,4945, 0.987609, 0.012391
0.900000,1406.877871,1000138.651507,442045,543685175,438678,3367, 0.992383, 0.007617
1.000000,1355.660964,1000179.733891,425970,1125173420,423979,1991, 0.995326, 0.004674
1.100000,1064.558379,1001689.750308,335006,1991296539,334086,920, 0.997254, 0.002746
1.200000,855.496116,1001019.372699,269036,2998541226,268611,425, 0.998420, 0.001580
1.300000,487.440380,1000627.479918,153230,4040887578,153081,149, 0.999028, 0.000972
1.400000,287.420418,1012505.707841,91425,5067557758,91366,59, 0.999355, 0.000645
1.500000,83.941661,1068937.319305,28189,6273215012,28179,10, 0.999645, 0.000355
1.600000,113.547191,1104959.297355,39416,7323181826,39410,6, 0.999848, 0.000152
1.700000,200.089105,1096948.278510,68954,8002649884,68951,3, 0.999956, 0.000044
