alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,413.236557,10042.673932,415,1220,246,169, 0.592771, 0.407229
0.200000,508.847874,10002.989615,509,3294,366,142, 0.719057, 0.278978
0.300000,674.802439,10017.746843,676,9372,549,127, 0.812130, 0.187870
0.400000,959.537430,10004.820756,960,32607,838,121, 0.872917, 0.126042
0.500000,1385.449191,10032.847174,1390,95261,1272,118, 0.915108, 0.084892
0.600000,1835.346937,10052.595304,1845,289220,1758,87, 0.952846, 0.047154
0.700000,2388.376935,10002.608739,2389,876179,2310,79, 0.966932, 0.033068
0.800000,2650.746008,10034.910896,2660,2323320,2610,50, 0.981203, 0.018797
0.900000,3116.695547,10000.976844,3117,5410456,3088,28, 0.990696, 0.008983
1.000000,3032.996560,10000.011342,3033,11419488,3011,21, 0.992746, 0.006924
1.100000,1319.986499,10000.102281,1320,20477519,1311,8, 0.993182, 0.006061
1.200000,946.992958,10000.074363,947,30637189,943,3, 0.995776, 0.003168
1.300000,1143.999945,10000.000482,1144,40322244,1141,2, 0.997378, 0.001748
1.400000,1228.999965,10000.000282,1229,49922298,1227,1, 0.998373, 0.000814
1.500000,106.999995,10000.000498,107,58636271,106,0, 0.990654, 0.000000
1.600000,6953.999871,10000.000185,6954,66337961,6953,0, 0.999856, 0.000000
1.700000,1890.999998,10000.000013,1891,72953238,1890,0, 0.999471, 0.000000
