alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,5137574.053880,5450043.095506,28,87,19,9, 0.678571, 0.321429
0.200000,5387487.636209,5197227.704396,28,605,21,6, 0.750000, 0.214286
0.300000,15016688.521035,5393998.809161,81,5075,74,7, 0.913580, 0.086420
0.400000,16796166.094959,5060678.700094,85,34696,76,8, 0.894118, 0.094118
0.500000,9778835.774150,5317606.430968,52,417814,46,6, 0.884615, 0.115385
0.600000,28181061.540518,5322723.552636,150,2203781,144,5, 0.960000, 0.033333
0.700000,29199532.378174,5000080.073513,146,20135313,142,3, 0.972603, 0.020548
0.800000,76995223.121121,5312017.855401,409,118136909,406,2, 0.992665, 0.004890
0.900000,67213324.098196,5341202.876315,359,495228511,355,3, 0.988858, 0.008357
1.000000,161599998.677016,5000000.040934,808,2253589246,806,1, 0.997525, 0.001238
1.100000,48399999.994148,5000000.000605,242,5160201701,241,0, 0.995868, 0.000000
1.200000,41399999.999378,5000000.000075,207,8300774423,206,0, 0.995169, 0.000000
1.300000,420999997.333252,5000000.031672,2105,11591209025,2104,0, 0.999525, 0.000000
1.400000,45199999.998678,5000000.000146,226,14306857101,225,0, 0.995575, 0.000000
1.500000,399999.997924,5000000.025947,2,16671355386,1,0, 0.500000, 0.000000
1.600000,236599999.994737,5000000.000111,1183,18750015947,1182,0, 0.999155, 0.000000
1.700000,284799999.942528,5000000.001009,1424,20589240410,1423,0, 0.999298, 0.000000
