alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,322.899119,5000013.643634,161450,378751,78346,83104, 0.485265, 0.514735
0.200000,325.350885,5000047.868877,162677,678738,87191,75486, 0.535976, 0.464024
0.300000,324.573412,5000009.061169,162287,1293100,94705,67582, 0.583565, 0.416435
0.400000,321.617463,5000008.344540,160809,2538139,100952,59857, 0.627776, 0.372224
0.500000,315.768138,5000029.487934,157885,4984498,105924,51960, 0.670893, 0.329100
0.600000,301.179984,5000000.269824,150590,9592995,106458,44131, 0.706939, 0.293054
0.700000,280.933193,5000014.360039,140467,17908525,104377,36089, 0.743071, 0.256922
0.800000,253.179999,5000000.019631,126590,31976595,98448,28141, 0.777692, 0.222300
0.900000,219.344000,5000000.003439,109672,53751316,88857,20814, 0.810207, 0.189784
1.000000,176.117944,5000001.576435,88059,84116237,73619,14439, 0.836019, 0.163970
1.100000,134.791999,5000000.024565,67396,122447711,58042,9353, 0.861208, 0.138777
1.200000,100.738000,5000000.003585,50369,165762984,44669,5699, 0.886835, 0.113145
1.300000,65.438000,5000000.030040,32719,210966781,29533,3185, 0.902625, 0.097344
1.400000,44.944000,5000000.033261,22472,254828406,20746,1725, 0.923193, 0.076762
1.500000,27.872000,5000000.027198,13936,295426163,13014,921, 0.933840, 0.066088
1.600000,18.102000,5000000.008566,9051,332248071,8592,458, 0.949287, 0.050602
1.700000,10.883998,5000000.758903,5442,365164496,5212,229, 0.957736, 0.042080
