mu, eta, distance, targets, number-of-flights, inside, outside
1.100000, 47.5124,  100000033.390619, 1900497, 3531489, 35585, 1864912
1.200000, 46.3846,  100000045.399837, 1855383, 4399495, 40924, 1814459
1.300000, 45.077,  100000037.185422, 1803080, 5596062, 44634, 1758446
1.400000, 43.6516,  100000016.751930, 1746066, 7156091, 45304, 1700762
1.500000, 42.2261,  100000039.718972, 1689046, 9096393, 43499, 1645547
1.600000, 40.8761,  100000009.091389, 1635043, 11393339, 40962, 1594081
1.700000, 39.616,  100000034.919781, 1584640, 14029337, 37772, 1546868
1.800000, 38.5073,  100000009.954859, 1540294, 16937370, 34604, 1505690
1.900000, 37.5291,  100000042.956350, 1501163, 20031619, 30826, 1470337
2.000000, 36.6978,  100000065.781778, 1467913, 23291029, 27850, 1440063
2.100000, 35.9693,  100000013.420515, 1438773, 26585697, 24600, 1414173
2.200000, 35.3818,  100000002.512255, 1415273, 29882508, 22044, 1393229
2.300000, 34.8675,  100000007.061907, 1394700, 33133161, 19434, 1375266
2.400000, 34.4385,  100000006.354033, 1377540, 36278606, 17266, 1360274
2.500000, 34.081,  100000014.073574, 1363239, 39306558, 15349, 1347890
2.600000, 33.8048,  100000017.813373, 1352192, 42190478, 13905, 1338287
2.700000, 33.5553,  100000042.172832, 1342214, 44893208, 12092, 1330122
2.800000, 33.355,  100000016.813635, 1334200, 47453148, 10626, 1323574
2.900000, 33.1913,  100000075.479961, 1327655, 49845636, 9654, 1318001
3.000000, 33.0618,  100000040.992093, 1322472, 52079628, 8724, 1313748
