mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,74.939,100000015.382702,2997559,3734869,1065961,1931598
1.200000,85.6299,100000004.575755,3425198,4757270,1532404,1892794
1.300000,97.3888,100000009.040660,3895554,6183138,2054634,1840920
1.400000,108.686,100000052.256490,4347431,8060227,2569860,1777571
1.500000,118.485,100000039.002194,4739409,10382751,3030839,1708570
1.600000,126.007,100000001.664591,5040279,13099496,3400411,1639868
1.700000,130.642,100000066.169104,5225690,16146375,3651538,1574152
1.800000,133.741,100000032.906245,5349642,19421228,3832493,1517149
1.900000,134.946,100000081.604639,5397849,22855126,3929726,1468123
2.000000,135.447,100000000.592467,5417868,26359432,3990558,1427310
2.100000,135.189,100000024.107197,5407545,29853239,4013905,1393640
2.200000,134.468,100000061.958120,5378733,33298717,4012014,1366719
2.300000,133.811,100000010.101185,5352460,36627593,4007692,1344768
2.400000,133.085,100000010.177959,5323399,39834774,3996330,1327069
2.500000,132.38,100000073.917415,5295207,42898418,3982233,1312974
2.600000,131.715,100000026.686675,5268605,45786145,3967036,1301569
2.700000,131.265,100000026.738393,5250597,48494878,3958114,1292483
2.800000,130.609,100000041.140214,5224374,51026390,3939415,1284959
2.900000,130.214,100000055.825015,5208547,53392138,3929592,1278955
3.000000,129.774,100000048.543793,5190981,55617628,3916718,1274263
