alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,112.107452,10000004.238992,448430,694655,258324,190106, 0.576063, 0.423937
0.200000,109.345036,10000042.414043,437382,782089,261702,175680, 0.598337, 0.401663
0.300000,99.891686,10000031.470711,399568,899661,239633,159935, 0.599730, 0.400270
0.400000,89.262971,10000003.208185,357052,1043740,213712,143340, 0.598546, 0.401454
0.500000,78.233175,10000009.645971,312933,1216149,187532,125401, 0.599272, 0.400728
0.600000,78.233175,10000009.645971,312933,1216149,187532,125401, 0.599272, 0.400728
0.700000,54.433157,10000017.062070,217733,1510375,129219,88514, 0.593475, 0.406525
0.800000,42.020040,10000109.421974,168082,1492783,99043,69039, 0.589254, 0.410746
0.900000,31.613921,10000024.857969,126456,1130966,71614,54842, 0.566316, 0.433684
1.000000,50.843996,10000049.886274,203377,3283714,138737,64640, 0.682167, 0.317833
1.100000,22.776939,10000356.010593,91111,1700713,56212,34899, 0.616962, 0.383038
1.200000,24.877482,10000007.181434,99510,3013147,67389,32121, 0.677208, 0.322792
1.300000,25.353204,10000017.984738,101413,4084307,72287,29126, 0.712798, 0.287202
1.400000,24.278423,10000031.589072,97114,5011358,71519,25595, 0.736444, 0.263556
1.500000,21.927647,10000389.075592,87714,5847557,66468,21246, 0.757781, 0.242219
1.600000,19.463195,10000028.175085,77853,6613566,60426,17427, 0.776155, 0.223845
1.700000,17.221182,10000184.643958,68886,7303524,54870,14016, 0.796533, 0.203467
1.800000,14.886820,10000960.635960,59553,7919905,48308,11245, 0.811177, 0.188823
1.900000,12.955858,10000109.254298,51824,8446736,42923,8901, 0.828246, 0.171754
2.000000,11.512241,10000007.785958,46049,8904115,39064,6985, 0.848314, 0.151686
