alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,111.299757,100000.217972,4452,6988,2550,1902, 0.572776, 0.427224
0.200000,107.170245,100027.764127,4288,7923,2535,1753, 0.591185, 0.408815
0.300000,102.349331,100000.653203,4094,9190,2464,1630, 0.601856, 0.398144
0.400000,95.795434,100004.766286,3832,11483,2380,1452, 0.621086, 0.378914
0.500000,90.586951,100069.600455,3626,13895,2274,1352, 0.627137, 0.372863
0.600000,90.586951,100069.600455,3626,13895,2274,1352, 0.627137, 0.372863
0.700000,76.957594,100022.617253,3079,20453,2030,1049, 0.659305, 0.340695
0.800000,65.957829,100101.838880,2641,24838,1767,874, 0.669065, 0.330935
0.900000,59.687483,100062.854987,2389,29361,1604,785, 0.671411, 0.328589
1.000000,50.020300,100009.396617,2001,35279,1372,629, 0.685657, 0.314343
1.100000,47.267055,100175.480689,1894,40893,1329,565, 0.701690, 0.298310
1.200000,38.241633,100021.880137,1530,46185,1079,451, 0.705229, 0.294771
1.300000,36.901752,100063.000602,1477,51083,1080,397, 0.731212, 0.268788
1.400000,28.273304,100005.997788,1131,58836,845,286, 0.747126, 0.252874
1.500000,24.351608,100404.046397,978,65296,744,234, 0.760736, 0.239264
1.600000,19.995453,100772.909319,806,69713,623,183, 0.772953, 0.227047
1.700000,20.458928,100200.753720,820,75331,673,147, 0.820732, 0.179268
1.800000,16.174641,100002.221088,647,80348,536,111, 0.828439, 0.171561
1.900000,13.999185,100184.402652,561,85161,472,89, 0.841355, 0.158645
2.000000,12.298887,100212.316516,493,89051,409,84, 0.829615, 0.170385
