alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,110.243843,100028.261681,4411,7028,2513,1898, 0.569712, 0.430288
0.200000,110.482904,100038.101774,4421,7937,2642,1779, 0.597602, 0.402398
0.300000,101.547186,100027.390294,4063,9254,2442,1621, 0.601034, 0.398966
0.400000,91.802811,100024.169908,3673,11351,2228,1445, 0.606589, 0.393411
0.500000,84.839641,100012.209843,3394,13860,2082,1312, 0.613435, 0.386565
0.600000,84.839641,100012.209843,3394,13860,2082,1312, 0.613435, 0.386565
0.700000,74.849068,100034.645815,2995,20535,1938,1057, 0.647078, 0.352922
0.800000,67.700896,100035.603702,2709,25201,1810,899, 0.668143, 0.331857
0.900000,59.718896,100052.083688,2390,29068,1608,782, 0.672803, 0.327197
1.000000,50.305746,100087.970018,2014,34316,1366,648, 0.678252, 0.321748
1.100000,47.970421,100165.892040,1922,40143,1366,556, 0.710718, 0.289282
1.200000,39.919220,100014.478273,1597,46521,1158,439, 0.725110, 0.274890
1.300000,33.168480,100170.403051,1329,53824,966,363, 0.726862, 0.273138
1.400000,28.841978,100114.494275,1155,58112,853,302, 0.738528, 0.261472
1.500000,24.671967,100518.941711,992,64947,760,232, 0.766129, 0.233871
1.600000,23.911300,100057.296775,957,69886,763,194, 0.797283, 0.202717
1.700000,16.805177,101010.541182,679,76163,524,155, 0.771723, 0.228277
1.800000,13.905181,100142.530175,557,80220,450,107, 0.807899, 0.192101
1.900000,15.749923,100159.218332,631,84411,533,98, 0.844691, 0.155309
2.000000,12.925000,102901.350148,532,92002,467,65, 0.877820, 0.122180
