alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,111.499518,1000026.748501,44601,69224,25603,18998, 0.574045, 0.425955
0.200000,109.483138,1000039.844659,43795,78098,26232,17563, 0.598972, 0.401028
0.300000,99.148506,1000065.498203,39662,89416,23640,16022, 0.596037, 0.403963
0.400000,87.921980,1000034.349092,35170,104442,20972,14198, 0.596304, 0.403696
0.500000,77.822115,1000037.073088,31130,120833,18576,12554, 0.596723, 0.403277
0.600000,77.822115,1000037.073088,31130,120833,18576,12554, 0.596723, 0.403277
0.700000,54.727758,1000086.649547,21893,151152,13022,8871, 0.594802, 0.405198
0.800000,42.044387,1000074.050610,16819,149120,9922,6897, 0.589928, 0.410072
0.900000,31.407083,1000252.086147,12566,112776,7094,5472, 0.564539, 0.435461
1.000000,51.557060,1000057.027628,20624,331131,14193,6431, 0.688179, 0.311821
1.100000,22.602397,1000336.393453,9044,170564,5642,3402, 0.623839, 0.376161
1.200000,24.591489,1000244.431897,9839,302096,6633,3206, 0.674154, 0.325846
1.300000,25.346471,1000139.249080,10140,407122,7250,2890, 0.714990, 0.285010
1.400000,23.865026,1000836.951292,9554,501246,6979,2575, 0.730479, 0.269521
1.500000,22.245820,1000637.412825,8904,584836,6798,2106, 0.763477, 0.236523
1.600000,20.257669,1002089.649598,8120,662236,6338,1782, 0.780542, 0.219458
1.700000,17.900488,1000391.712653,7163,731235,5755,1408, 0.803434, 0.196566
1.800000,15.690198,1000943.409688,6282,791483,5155,1127, 0.820599, 0.179401
1.900000,13.299384,1001174.209792,5326,846357,4448,878, 0.835148, 0.164852
2.000000,11.665035,1001068.615356,4671,889881,3985,686, 0.853136, 0.146864
