alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,100.951238,148.586589,6,11,3,3, 0.500000, 0.500000
0.200000,89.541183,139.600568,5,10,3,2, 0.600000, 0.400000
0.300000,120.936555,103.359980,5,7,3,2, 0.600000, 0.400000
0.400000,223.606517,100.623186,9,11,7,2, 0.777778, 0.222222
0.500000,111.897744,178.734613,8,33,6,2, 0.750000, 0.250000
0.600000,111.897744,178.734613,8,33,6,2, 0.750000, 0.250000
0.700000,45.669803,109.481532,2,15,0,2, 0.000000, 1.000000
0.800000,74.804775,100.260980,3,6,1,2, 0.333333, 0.666667
0.900000,39.696189,188.935011,3,36,1,2, 0.333333, 0.666667
1.000000,16.614885,300.934966,2,127,1,1, 0.500000, 0.500000
1.100000,75.442051,165.690087,5,53,4,1, 0.800000, 0.200000
1.200000,23.631617,317.371425,3,133,2,1, 0.666667, 0.333333
1.300000,5.376590,464.978759,1,278,0,1, 0.000000, 1.000000
1.400000,11.753709,212.698824,1,126,0,1, 0.000000, 1.000000
1.500000,115.597396,108.133923,5,53,4,1, 0.800000, 0.200000
1.600000,33.321398,375.134321,5,251,4,1, 0.800000, 0.200000
1.700000,3.675138,2040.739705,3,1584,2,1, 0.666667, 0.333333
1.800000,7.009427,713.325049,2,603,1,1, 0.500000, 0.500000
1.900000,2.353902,1062.066173,1,862,0,1, 0.000000, 1.000000
2.000000,6.066649,1648.356486,4,1486,3,1, 0.750000, 0.250000
