alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,100.603699,10000029.912914,402416,419724,202980,199436, 0.504403, 0.495597
0.200000,101.226886,10000011.302845,404908,405603,202629,202279, 0.500432, 0.499568
0.300000,101.361619,10000012.881678,405447,405515,202891,202556, 0.500413, 0.499587
0.400000,101.183976,10000002.401854,404736,404756,202156,202580, 0.499476, 0.500524
0.500000,101.280741,10000000.857956,405123,405137,202542,202581, 0.499952, 0.500048
0.600000,101.280741,10000000.857956,405123,405137,202542,202581, 0.499952, 0.500048
0.700000,101.332852,10000039.295879,405333,405337,202739,202594, 0.500179, 0.499821
0.800000,101.327704,10000029.208815,405312,405320,202717,202595, 0.500151, 0.499849
0.900000,101.378710,10000003.911932,405515,405524,202920,202595, 0.500401, 0.499599
1.000000,101.205397,10000034.833789,404823,404830,202230,202593, 0.499552, 0.500448
1.100000,100.952457,10000029.067034,403811,403816,201208,202603, 0.498273, 0.501727
1.200000,101.469266,10000047.676671,405879,405885,203279,202600, 0.500836, 0.499164
1.300000,101.338291,10000045.248905,405355,405362,202758,202597, 0.500199, 0.499801
1.400000,101.337541,10000020.669054,405351,405361,202753,202598, 0.500191, 0.499809
1.500000,101.499491,10000025.480786,405999,406000,203404,202595, 0.500996, 0.499004
1.600000,101.439588,10000040.610111,405760,405769,203156,202604, 0.500680, 0.499320
1.700000,101.652251,10000049.044350,406611,406616,204011,202600, 0.501735, 0.498265
1.800000,101.270825,10000041.990070,405085,405089,202489,202596, 0.499868, 0.500132
1.900000,101.585256,10000023.988717,406342,406351,203745,202597, 0.501413, 0.498587
2.000000,100.908418,10000008.170846,403634,403642,201042,202592, 0.498080, 0.501920
