alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,94.853442,1000000004.766065,37941377,46710605,19398408,18542969, 0.511273, 0.488727
0.200000,88.861266,1000000011.755631,35544507,55128393,18626187,16918320, 0.524024, 0.475976
0.300000,82.948401,1000000074.219722,33179363,65994109,17812767,15366596, 0.536863, 0.463137
0.400000,77.048928,1000000092.417003,30819574,79618051,16942630,13876944, 0.549736, 0.450264
0.500000,71.113686,1000000016.134413,28445475,96223936,15998804,12446671, 0.562438, 0.437562
0.600000,71.113686,1000000016.134413,28445475,96223936,15998804,12446671, 0.562438, 0.437562
0.700000,59.587282,1000000001.133359,23834913,138871663,14042518,9792395, 0.589158, 0.410842
0.800000,54.044580,1000000046.627112,21617833,164722859,13031707,8586126, 0.602822, 0.397178
0.900000,48.747623,1000000046.965696,19499050,192988568,12023667,7475383, 0.616628, 0.383372
1.000000,43.773492,1000000009.862425,17509397,223179934,11042189,6467208, 0.630644, 0.369356
1.100000,39.178581,1000000353.048150,15671438,254725601,10101857,5569581, 0.644603, 0.355397
1.200000,35.018735,1000000202.229299,14007497,286963536,9226019,4781478, 0.658649, 0.341351
1.300000,31.250600,1000000489.466449,12500246,319133587,8405699,4094547, 0.672443, 0.327557
1.400000,27.977780,1000000096.842929,11191113,350819711,7678141,3512972, 0.686093, 0.313907
1.500000,25.142744,1000000056.508207,10057098,381518300,7038101,3018997, 0.699814, 0.300186
1.600000,22.680546,1000000726.813899,9072225,410910784,6465672,2606553, 0.712689, 0.287311
1.700000,20.600116,1000000291.641884,8240049,438822488,5975569,2264480, 0.725186, 0.274814
1.800000,18.856741,1000000221.331102,7542698,465061523,5561145,1981553, 0.737289, 0.262711
1.900000,17.365659,1000000631.199488,6946268,489642076,5198534,1747734, 0.748392, 0.251608
2.000000,16.124647,1000000159.728057,6449860,512632226,4894226,1555634, 0.758811, 0.241189
