alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,94.821915,10000008.922379,379288,467024,193888,185400, 0.511189, 0.488811
0.200000,88.723496,10000000.500898,354894,549825,185765,169129, 0.523438, 0.476562
0.300000,82.823192,10000006.952174,331293,658568,177650,153643, 0.536232, 0.463768
0.400000,77.200724,10000035.738347,308804,796652,170133,138671, 0.550942, 0.449058
0.500000,71.122838,10000093.016350,284494,963304,160105,124389, 0.562771, 0.437229
0.600000,71.122838,10000093.016350,284494,963304,160105,124389, 0.562771, 0.437229
0.700000,59.655598,10000109.318974,238625,1391965,140767,97858, 0.589909, 0.410091
0.800000,53.797349,10000074.476759,215191,1645914,129342,85849, 0.601057, 0.398943
0.900000,48.761880,10000178.500651,195051,1931463,120278,74773, 0.616649, 0.383351
1.000000,43.718396,10000138.137659,174876,2231671,110247,64629, 0.630430, 0.369570
1.100000,39.059569,10000046.376102,156239,2545351,100507,55732, 0.643290, 0.356710
1.200000,35.154377,10000319.327699,140622,2868013,92702,47920, 0.659228, 0.340772
1.300000,31.540410,10000504.265012,126168,3195828,85204,40964, 0.675322, 0.324678
1.400000,28.135094,10000144.178134,112542,3506372,77317,35225, 0.687006, 0.312994
1.500000,25.101421,10000031.579251,100406,3814034,70208,30198, 0.699241, 0.300759
1.600000,22.753918,10000475.478479,91020,4105906,65001,26019, 0.714140, 0.285860
1.700000,20.453163,10000042.374149,81813,4387434,59247,22566, 0.724176, 0.275824
1.800000,18.840139,10000457.178144,75364,4650749,55515,19849, 0.736625, 0.263375
1.900000,17.206464,10000166.081362,68827,4892807,51420,17407, 0.747091, 0.252909
2.000000,16.284723,10000323.654993,65141,5124489,49521,15620, 0.760212, 0.239788
