alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,101.237034,10000046.054322,404950,404950,202366,202584, 0.499731, 0.500269
0.200000,101.236831,10000016.706537,404948,404948,202368,202580, 0.499738, 0.500262
0.300000,101.175650,10000034.563501,404704,404704,202113,202591, 0.499409, 0.500591
0.400000,101.398160,10000033.485600,405594,405594,203000,202594, 0.500501, 0.499499
0.500000,101.432214,10000003.597251,405729,405729,203129,202600, 0.500652, 0.499348
0.600000,101.432214,10000003.597251,405729,405729,203129,202600, 0.500652, 0.499348
0.700000,101.593533,10000021.354793,406375,406375,203781,202594, 0.501460, 0.498540
0.800000,101.209141,10000035.496044,404838,404838,202241,202597, 0.499560, 0.500440
0.900000,101.249961,10000003.822424,405000,405000,202399,202601, 0.499751, 0.500249
1.000000,101.257702,10000029.412475,405032,405032,202433,202599, 0.499795, 0.500205
1.100000,101.396310,10000043.382434,405587,405587,202985,202602, 0.500472, 0.499528
1.200000,101.538456,10000028.958968,406155,406155,203554,202601, 0.501173, 0.498827
1.300000,101.171338,10000015.966648,404686,404686,202088,202598, 0.499370, 0.500630
1.400000,101.149814,10000018.398604,404600,404600,202006,202594, 0.499273, 0.500727
1.500000,100.981881,10000011.811384,403928,403928,201328,202600, 0.498425, 0.501575
1.600000,101.423690,10000005.882111,405695,405695,203095,202600, 0.500610, 0.499390
1.700000,101.248067,10000042.783335,404994,404994,202392,202602, 0.499741, 0.500259
1.800000,101.655725,10000002.467594,406623,406623,204023,202600, 0.501750, 0.498250
1.900000,101.319498,10000000.218566,405278,405278,202681,202597, 0.500104, 0.499896
2.000000,101.138648,10000034.829118,404556,404556,201957,202599, 0.499207, 0.500793
