alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,112.601175,8000027.525193,360325,561048,208177,152148, 0.577748, 0.422252
0.200000,110.806079,8000012.324433,354580,640865,213729,140851, 0.602767, 0.397233
0.300000,103.841529,8000050.758327,332295,754259,203149,129146, 0.611351, 0.388649
0.400000,95.775308,8000000.381229,306481,906220,189586,116895, 0.618590, 0.381410
0.500000,88.229681,8000057.283347,282337,1100969,177539,104798, 0.628819, 0.371181
0.600000,88.229681,8000057.283347,282337,1100969,177539,104798, 0.628819, 0.371181
0.700000,72.919080,8000135.248384,233345,1636785,151725,81620, 0.650217, 0.349783
0.800000,65.393913,8000056.536507,209262,1976495,138393,70869, 0.661338, 0.338662
0.900000,58.421294,8000122.402380,186951,2360154,126210,60741, 0.675097, 0.324903
1.000000,51.421623,8000039.280968,164550,2798542,113096,51454, 0.687305, 0.312695
1.100000,45.078183,8000100.648651,144252,3248874,101511,42741, 0.703706, 0.296294
1.200000,39.282580,8000110.908010,125706,3726972,90407,35299, 0.719194, 0.280806
1.300000,33.293299,8000108.401444,106540,4207652,77900,28640, 0.731181, 0.268819
1.400000,29.090014,8000081.983297,93089,4680971,69814,23275, 0.749970, 0.250030
1.500000,24.321224,8000008.559738,77828,5156983,59284,18544, 0.761731, 0.238269
1.600000,21.551147,8000038.092513,68964,5596761,54079,14885, 0.784163, 0.215837
1.700000,17.629912,8000323.460856,56418,6020559,44774,11644, 0.793612, 0.206388
1.800000,15.223123,8000493.906119,48717,6418324,39575,9142, 0.812345, 0.187655
1.900000,13.241773,8000250.376610,42375,6783495,35279,7096, 0.832543, 0.167457
2.000000,11.382748,8000704.546536,36428,7125207,30839,5589, 0.846574, 0.153426
