(alpha=0.50),(alpha=1.00),(alpha=1.50),(alpha=2.00)
-47856979084132103890141184.000000,-76.023363,-8.543341,-16.251338
0.535912,-11.117000,22.552865,6.052025
2.099468,-9.852820,17.055600,15.773699
7.880678,26.798388,-15.103812,29.184173
181.854341,-30.478035,-53.936152,6.606479
1.428443,4.120316,3.538273,-13.938508
0.129615,7.347467,19.848539,1.460446
1.689245,-16.771476,11.968902,-3.628858
-1.321955,-8.798634,4.955508,-1.684524
0.359693,9.317498,1.212562,-9.656042
-6.964470,20.041610,15.823632,-11.123251
-5.552620,-6330.934783,4.063941,-17.444881
12.277409,-7.862811,0.834409,-6.618709
-0.311593,-1.674888,26.036519,-0.797756
-163.366002,-175.792318,4.874605,-12.652175
232.216599,-4.474966,19.291184,-16.130586
-0.091512,3.544612,-13.521368,20.592961
161.676776,45.078071,-6.568652,2.034362
29.517668,-34.074694,-25.459469,-5.548554
-2.491010,-21.522823,-14.883357,-26.553480
-14.576186,-0.172012,18.657692,-14.429698
-3.933788,2.841390,-15.742973,-4.383461
-113.336542,-16.166298,-25.295694,12.379830
30.170910,-5.941899,11.037269,9.642393
2.184155,15.218771,-15.659955,5.091985
1.381787,-8.352359,4.502802,-3.717330
13.294348,-15.599182,-82.799520,1.905132
-22.019331,48.791546,2.069666,-3.417578
-7.567906,-63.271776,1.569088,-3.413987
-5.081270,-3.531326,-13.612054,-0.964420
161.497864,21.451197,4.882861,-30.833611
-3157.603937,22.273545,12.750936,6.342367
-36.237764,-978.739564,10.562631,1.363521
4.155340,-9.675694,-0.733311,-15.725828
5.297688,15.930670,-23.021699,-35.464742
-10.156930,-1.670460,-15.873476,7.173578
-2.879616,8.378695,-12.006678,10.524681
-18.308423,-4.386771,26.078899,-18.187649
-0.463097,163.255386,15.818034,2.130235
-445.511967,-173.648242,-22.609790,3.643011
-56.675571,-24.683430,-30.806088,-1.250402
-0.679002,119.501567,18.079641,33.262896
-12.433032,209.575200,3.278204,-1.174044
-5.043011,-31.269464,11.227675,10.572488
-2.247789,16.215380,1.201391,0.055515
4.177036,-1.422088,58.468714,6.312319
-79.824775,-36.688952,25.596383,42.070406
-15.284461,4.869030,-18.567203,0.307409
141.145902,6.761614,-8.041031,11.693172
-0.338870,-42.494519,0.236539,-39.604774
3.528733,91.335816,-9.869309,17.177922
1.002047,26.329138,-12.740943,-1.107885
-11.959112,2.276677,-5.932188,-18.787337
-77.283365,0.938357,-30.465480,0.032171
-0.085430,-90.384710,21.500948,5.117099
-1736.706136,-10.692065,-13.985341,-13.177871
2.322520,11.245216,9.934172,0.173852
-259.836474,21.557502,20.895611,31.166748
-405.619719,5.975029,-3.400527,-26.204089
-51.466033,15.821559,-29.088358,-15.674857
9.165090,6.645092,-10.025822,-4.144452
18.813112,-16.462103,4.543140,3.765044
14.711627,40.623357,9.103656,-4.980483
3.479991,-231.501170,9.092123,-13.347681
-901.299668,-13.227215,-5.051731,0.735608
-5.542359,7.135772,-13.512197,-32.612128
-5.561848,-16.899013,-4.164058,-5.602535
-41.772722,4.814846,43.612402,-4.697655
-116.417712,-9.492372,12.198993,5.147843
0.720424,6.520267,13.542466,-17.937478
-29.491797,-10.676860,-8.832468,-6.304937
35.849586,-12.341752,-25.596787,-20.042706
-28.271044,-28.192070,23.308217,6.786642
10.176518,4.343254,-23.078847,-5.335650
30.915990,-0.618583,-8.091504,-1.656865
10.825975,10.503987,18.029454,-10.752964
-62.987224,18.888161,-15.602441,-18.352676
4.649943,-5.673076,-10.788199,8.046941
