alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
1.100000,35.306786,10000131.459998,141229,2866072,93299,47930, 0.660622, 0.339378
1.200000,-nan,0.000000,0,0,0,0, -nan, -nan
1.300000,31.694203,10000093.604007,126778,3190084,85541,41237, 0.674731, 0.325269
1.400000,27.930561,10000157.017627,111724,3498526,76359,35365, 0.683461, 0.316539
1.500000,25.001560,10000075.928761,100007,3815498,69841,30166, 0.698361, 0.301639
1.600000,22.547325,10000188.345286,90191,4106530,64206,25985, 0.711889, 0.288111
1.700000,20.560474,10000134.368525,82243,4387780,59587,22656, 0.724524, 0.275476
1.800000,19.148179,10000167.573877,76594,4652445,56557,20037, 0.738400, 0.261600
1.900000,17.361398,10000202.961230,69447,4898995,52029,17418, 0.749190, 0.250810
2.000000,16.311508,10000607.898467,65250,5126037,49637,15613, 0.760720, 0.239280
2.100000,-nan,0.000000,0,0,0,0, -nan, -nan
2.200000,-nan,0.000000,0,0,0,0, -nan, -nan
2.300000,-nan,0.000000,0,0,0,0, -nan, -nan
2.400000,-nan,0.000000,0,0,0,0, -nan, -nan
2.500000,-nan,0.000000,0,0,0,0, -nan, -nan
2.600000,-nan,0.000000,0,0,0,0, -nan, -nan
2.700000,-nan,0.000000,0,0,0,0, -nan, -nan
2.800000,-nan,0.000000,0,0,0,0, -nan, -nan
2.900000,-nan,0.000000,0,0,0,0, -nan, -nan
3.000000,-nan,0.000000,0,0,0,0, -nan, -nan
