alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,1394.474979,5000089.714393,69725,133282,44009,25716, 0.631180, 0.368820
0.200000,1739.625061,5000157.903526,86984,341329,63570,23414, 0.730824, 0.269176
0.300000,2129.269142,5000072.461541,106465,907019,85478,20986, 0.802874, 0.197116
0.400000,2635.137090,5000043.470268,131758,2464989,113204,18553, 0.859181, 0.140811
0.500000,3166.469943,5000047.461333,158325,6662751,142258,16066, 0.898519, 0.101475
0.600000,3724.026584,5000044.865402,186203,17307834,172625,13577, 0.927080, 0.072915
0.700000,4171.014453,5000078.574336,208554,43417974,197647,10907, 0.947702, 0.052298
0.800000,4356.478678,5000001.516983,217824,99847556,209687,8136, 0.962644, 0.037351
0.900000,4298.299955,5000000.052888,214915,209942787,209380,5534, 0.974246, 0.025750
1.000000,3760.600000,5000000.000201,188030,389297768,184618,3411, 0.981854, 0.018141
1.100000,2874.919829,5000069.864927,143748,630899746,141948,1799, 0.987478, 0.012515
1.200000,2117.019996,5000000.009407,105851,904404824,104972,878, 0.991696, 0.008295
1.300000,1331.959992,5000000.028381,66598,1180205602,66199,398, 0.994009, 0.005976
1.400000,850.340000,5000000.000976,42517,1436723045,42329,187, 0.995578, 0.004398
1.500000,447.140000,5000000.002849,22357,1669745548,22284,72, 0.996735, 0.003220
1.600000,159.860000,5000000.000343,7993,1875502031,7965,27, 0.996497, 0.003378
1.700000,288.260000,5000000.002036,14413,2059404425,14396,16, 0.998821, 0.001110
