mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,72.9001,100000045.421813,2916005,3645059,1045038,1870967
1.200000,82.0945,100000002.385431,3283781,4587452,1488721,1795060
1.300000,91.2535,100000042.920509,3650140,5872193,1959993,1690147
1.400000,98.8628,100000039.186113,3954513,7527359,2397136,1557377
1.500000,103.322,100000038.360006,4132891,9535245,2727792,1405099
1.600000,104.302,100000031.442116,4172078,11846038,2927440,1244638
1.700000,101.765,100000030.709748,4070617,14437700,2985010,1085607
1.800000,96.7364,100000064.531411,3869458,17256323,2932898,936560
1.900000,90.3753,100000047.837939,3615012,20243516,2812499,802513
2.000000,82.5281,100000051.083238,3301124,23362089,2618583,682541
2.100000,75.013,100000110.538905,3000522,26530196,2419857,580665
2.200000,67.801,100000000.626129,2712039,29742973,2218640,493399
2.300000,60.8497,100000062.866033,2433991,32906161,2015952,418039
2.400000,54.7222,100000082.441802,2188891,36014592,1832366,356525
2.500000,49.2663,100000216.222264,1970656,39018902,1666158,304498
2.600000,44.644,100000394.502578,1785767,41897390,1523753,262014
2.700000,40.6587,100001141.005779,1626366,44604538,1399590,226776
2.800000,36.9992,100000144.412127,1479970,47176188,1282622,197348
2.900000,34.3131,100000384.517600,1372531,49587117,1198172,174359
3.000000,31.8614,100000236.902710,1274460,51833104,1119751,154709
