(alpha=0.10 x ell=0.10),(alpha=0.10 x ell=1.00),(alpha=0.10 x ell=10.00),(alpha=0.20 x ell=0.10),(alpha=0.20 x ell=1.00),(alpha=0.20 x ell=10.00),(alpha=0.30 x ell=0.10),(alpha=0.30 x ell=1.00),(alpha=0.30 x ell=10.00),(alpha=0.40 x ell=0.10),(alpha=0.40 x ell=1.00),(alpha=0.40 x ell=10.00),(alpha=0.50 x ell=0.10),(alpha=0.50 x ell=1.00),(alpha=0.50 x ell=10.00),(alpha=0.60 x ell=0.10),(alpha=0.60 x ell=1.00),(alpha=0.60 x ell=10.00),(alpha=0.70 x ell=0.10),(alpha=0.70 x ell=1.00),(alpha=0.70 x ell=10.00),(alpha=0.80 x ell=0.10),(alpha=0.80 x ell=1.00),(alpha=0.80 x ell=10.00),(alpha=0.90 x ell=0.10),(alpha=0.90 x ell=1.00),(alpha=0.90 x ell=10.00),(alpha=1.00 x ell=0.10),(alpha=1.00 x ell=1.00),(alpha=1.00 x ell=10.00),(alpha=1.10 x ell=0.10),(alpha=1.10 x ell=1.00),(alpha=1.10 x ell=10.00),(alpha=1.20 x ell=0.10),(alpha=1.20 x ell=1.00),(alpha=1.20 x ell=10.00),(alpha=1.30 x ell=0.10),(alpha=1.30 x ell=1.00),(alpha=1.30 x ell=10.00),(alpha=1.40 x ell=0.10),(alpha=1.40 x ell=1.00),(alpha=1.40 x ell=10.00),(alpha=1.50 x ell=0.10),(alpha=1.50 x ell=1.00),(alpha=1.50 x ell=10.00),(alpha=1.60 x ell=0.10),(alpha=1.60 x ell=1.00),(alpha=1.60 x ell=10.00),(alpha=1.70 x ell=0.10),(alpha=1.70 x ell=1.00),(alpha=1.70 x ell=10.00),(alpha=1.80 x ell=0.10),(alpha=1.80 x ell=1.00),(alpha=1.80 x ell=10.00),(alpha=1.90 x ell=0.10),(alpha=1.90 x ell=1.00),(alpha=1.90 x ell=10.00),(alpha=2.00 x ell=0.10),(alpha=2.00 x ell=1.00),(alpha=2.00 x ell=10.00)
0.007185,7873.710370,0.000010,0.000190,21.856124,847.821705,0.033163,17.301010,3567.590468,4.103184,1.302068,0.555417,0.010776,0.797646,0.129615,0.051979,3.055685,0.533289,0.014024,4.262506,9.229989,0.003591,1.367057,4.643145,0.244652,10.887743,2.538146,0.125096,0.081775,93.521995,0.055464,2.739368,24.502088,0.032766,2.714467,41.577770,0.187767,0.386338,9.166122,0.173508,0.325709,98.418542,0.116724,1.103727,7.521064,0.052587,0.936401,4.339724,0.085512,0.455598,2.915409,0.028995,1.700423,2.424066,0.014039,1.419425,35.292359,0.045497,3.737384,6.739519 
17.010347,864.475450,99714.267592,0.008084,0.005024,6172917.049505,0.053902,5.307033,1484.801243,0.037629,846.367312,506.830775,1.733719,11.803802,2640.714033,0.266508,1.215764,1606.866930,0.019561,0.447591,59.235387,0.170409,0.608836,0.117905,0.077832,8.391223,78.939545,0.228933,2.532022,4.869030,0.002420,2.406139,6.269508,0.110188,0.023321,13.387904,0.653610,1.205228,3.818824,0.210682,0.185874,1.108681,0.000291,2.150095,8.035797,0.039354,0.870429,9.559901,0.001703,1.456577,22.195629,0.258605,1.016859,18.481143,0.132027,0.858129,7.317341,0.041000,0.376504,0.438411 
211079.929692,0.045111,1.538232,0.002850,5.212134,46.696067,1.028954,193.904015,165.489494,0.348099,0.078540,4.759416,0.060324,3.584959,22.164859,0.063263,1.105987,2.242710,0.163437,0.555451,12.139271,0.236560,2.544999,7.447935,0.020709,141.484266,48.252135,0.078734,0.666529,2.434841,0.035780,2.888185,3.828206,0.163535,0.020360,14.640776,0.119520,0.874310,25.146908,0.147390,0.195386,13.963170,0.061890,1.628101,7.277441,0.480663,1.476882,1.221413,0.101059,2.014651,11.115585,0.154135,1.572920,4.782179,0.306372,0.044484,4.606994,0.141976,1.536746,23.259500 
0.352324,0.005951,0.009962,0.007568,73.414141,7.964891,0.158822,0.046931,327.779806,1.271018,9.025091,1228.119709,0.295516,11.667492,667.665203,0.027616,0.313577,6.805457,0.035948,1.959092,2.238829,1.062748,0.088433,101.906828,0.055394,0.856677,139.912387,0.076319,2.999155,16.785830,2.687318,1.134831,6.328709,15.253836,0.502594,5.196125,0.020559,1.339365,10.927957,0.246314,0.668606,77.205890,0.007879,2.784398,0.708317,0.989944,0.501733,15.433107,0.110335,0.524430,56.417086,0.272912,2.061025,9.440644,0.145339,1.450566,2.271488,0.081670,1.424122,3.660472 
109662280.550901,0.000037,17.625068,0.006354,0.000202,415.293029,0.006462,0.003726,2926328.429746,7.545227,3.028430,129.420028,0.025583,2.036161,2.584378,0.029899,6.381398,6.821969,0.013353,1.237288,40.502881,0.072677,1.349751,52.763215,5.819063,2.609420,0.117037,0.018467,0.876049,29.004400,0.002603,2.708007,1.435096,0.011583,0.826659,0.739767,0.010112,0.811204,10.267202,0.199118,1.750436,31.422161,0.084869,0.124336,31.034386,0.081074,0.119041,14.382744,0.004841,4.720462,11.800098,0.412999,0.352344,4.942624,0.008149,1.068468,16.322746,0.249929,0.181929,4.987070 
25077744.401814,15377047458003.091797,132747796.316090,0.996302,55.755227,582005.981096,0.309638,1.646524,151.494623,0.030544,1.418512,3.809122,0.152565,0.569447,33.690050,6.031899,0.029101,2.082409,0.008363,0.483219,1.662894,9.013765,2.717567,53.528478,2.500677,0.673510,4.311247,0.026280,2.373714,7.687310,0.582336,0.732586,7.597080,0.058548,1.011504,226.797522,0.136368,1.295955,4.636241,0.026725,2.355777,26.111028,0.094047,0.069612,37.509935,0.067490,0.299448,12.973187,0.211579,0.375026,3.915844,0.162154,0.165192,2.327277,0.112982,0.664897,22.641264,0.026834,0.272766,10.505838 
0.000002,0.000391,473.100448,0.031139,0.767807,2537.292028,0.077425,2208.993111,2.817123,0.636417,0.123676,26108.337475,0.326015,5.657740,3.800302,0.276087,0.596567,2.677181,11.562987,22.419559,8.891635,7.679007,0.178742,1122.568940,0.007711,0.276183,26.049066,0.313202,2.640538,9.224663,0.518999,0.072815,21.739897,1.429131,0.220064,19.928894,0.048899,1.245576,70.692825,0.154167,2.100786,10.766105,0.003108,1.834367,7.665372,0.151064,1.575728,3.849527,0.029563,0.684030,16.035044,0.122708,0.421491,4.497875,0.147328,0.033943,3.537504,0.216811,1.947016,28.130050 
0.000000,0.000048,37264.866246,0.023468,20.015738,2.777654,0.032247,3831.918075,17.725557,0.001039,391.999647,9714.212468,0.618110,0.592531,6.318338,1.193956,0.233084,21.058296,0.378030,0.227842,5.051225,0.130273,0.447001,3.308051,0.031374,5.991350,1.938869,0.007193,0.383032,9.555763,0.139767,1.151540,2.109351,0.104711,5.728595,44.566825,0.168326,5.714831,12.325385,0.105195,2.738883,12.413880,0.035004,1.125957,14.480334,0.012862,6.090229,1.282868,0.181602,2.008607,8.319716,0.150460,1.815105,3.269308,0.043888,0.920401,3.013606,0.027915,0.755985,3.307593 
0.000501,11.533778,0.663040,2604926.635178,60.757627,2.991640,0.640675,9.466685,0.063820,0.140661,1.175498,6.258393,1.145504,0.115201,24423.980577,0.075199,2.323298,13.185831,0.215232,0.754092,25.100022,0.034211,4.593294,11.150866,0.197632,2.017547,7.237713,0.022833,0.593539,1.096391,0.042107,0.848336,4.160131,0.434473,1.227975,2.009384,0.042243,2.203212,431.025108,0.146715,0.732254,3.416787,0.192117,1.507529,8.529927,0.032983,1.203762,22.880670,0.035512,0.600776,6.864400,0.004921,0.274312,3.320347,0.242257,0.647317,12.392459,0.070116,1.387808,16.878381 
3.701303,3.176023,80.753111,0.003430,0.046547,2.728426,0.008727,3.039943,0.562309,0.183967,0.092620,1244885.506431,0.048429,0.285307,0.018357,0.506027,0.337870,16.836564,0.067557,0.083153,64.914132,0.210409,1.144379,700.070607,0.091458,0.411132,3.287591,0.127566,3.901605,5.422903,0.458395,1.193389,1.576191,0.212400,0.256630,5.601917,0.015335,0.036057,42.715865,0.147252,0.195264,3.114336,0.004948,0.237183,6.283744,0.103108,1.435090,8.028724,0.180351,2.437837,9.078868,0.068172,3.901386,2.201117,0.277061,3.314588,20.638683,0.260483,0.064177,7.815740 
