alpha,eta,distance,targets,number-of-flights,inside,outside, inside-percent, outside-percent
0.100000,435.528496,100016.417761,4356,12459,2707,1649, 0.621442, 0.378558
0.200000,546.750434,100045.645244,5470,33807,3981,1489, 0.727788, 0.272212
0.300000,725.437444,100022.408038,7256,103052,5942,1313, 0.818908, 0.180954
0.400000,951.026316,100060.322612,9516,312848,8359,1157, 0.878415, 0.121585
0.500000,1319.236860,100004.786114,13193,997625,12185,1007, 0.923596, 0.076328
0.600000,1645.917474,100035.392150,16465,2983787,15630,834, 0.949286, 0.050653
0.700000,2007.796569,100015.112661,20081,8437569,19430,650, 0.967581, 0.032369
0.800000,2444.991954,100000.329095,24450,22869640,23953,496, 0.979673, 0.020286
0.900000,2367.199999,100000.000036,23672,54940323,23353,318, 0.986524, 0.013434
1.000000,2378.988207,100000.495702,23790,114066004,23603,186, 0.992140, 0.007818
1.100000,2028.099983,100000.000851,20281,198961413,20177,103, 0.994872, 0.005079
1.200000,1812.300000,100000.000021,18123,299328331,18076,46, 0.997407, 0.002538
1.300000,1068.299993,100000.000651,10683,403613144,10665,17, 0.998315, 0.001591
1.400000,421.200000,100000.000061,4212,500602352,4209,2, 0.999288, 0.000475
1.500000,211.599999,100000.000291,2116,587072714,2113,2, 0.998582, 0.000945
1.600000,570.100000,100000.000083,5701,662788738,5700,0, 0.999825, 0.000000
1.700000,3.400000,100000.003732,34,729492524,33,0, 0.970588, 0.000000
