mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,1.74623e-06,4294967249.000000,3,6,2,1
1.200000,1.16415e-06,4294967297.000000,2,2,0,2
1.300000,5.82077e-07,4294967247.000000,1,1,0,1
1.400000,5.82077e-07,4294967247.000000,1,1,0,1
1.500000,1.16415e-06,4294967248.000000,2,21,1,1
1.600000,1.74623e-06,4294967273.000000,3,29,1,2
1.700000,2.91038e-06,4294967345.000000,5,18,4,1
1.800000,1.16415e-06,4294967297.000000,2,37,2,0
1.900000,5.82077e-07,4294967251.000000,1,39,0,1
2.000000,5.82077e-07,4294967295.000000,1,3,1,0
2.100000,5.82077e-07,4294967294.000000,1,2,1,0
2.200000,4.07454e-06,4294967506.000000,7,180,3,4
2.300000,5.82077e-07,4294967295.000000,1,7,1,0
2.400000,1.16415e-06,4294967249.000000,2,94,1,1
2.500000,1.74623e-06,4294967329.000000,3,815,1,2
2.600000,1.16415e-06,4294967295.000000,2,13,2,0
2.700000,3.49246e-06,4294967276.000000,6,1110,5,1
2.800000,5.82077e-07,4294967246.000000,1,366,0,1
2.900000,4.07454e-06,4294967338.000000,7,541,6,1
3.000000,5.82077e-07,4294967295.000000,1,6,1,0
