mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,88.1934,100000036.433373,3527739,7083475,1580702,1947037
1.200000,93.0829,100000045.747598,3723319,7115015,1805370,1917949
1.300000,104.557,100000002.553582,4182280,8684232,2309442,1872838
1.400000,117.804,100000041.034882,4712163,11225082,2900551,1811612
1.500000,130.231,100000008.974184,5209248,14628043,3469944,1739304
1.600000,140.012,100000038.805289,5600478,18813360,3936623,1663855
1.700000,146.587,100000056.347729,5863483,23678146,4273175,1590308
1.800000,150.087,100000023.535375,6003501,29092330,4479338,1524163
1.900000,151.699,100000029.753291,6067973,34926325,4601094,1466879
2.000000,151.482,100000040.982499,6059275,40998100,4639639,1419636
2.100000,150.625,100000061.919558,6025016,47156002,4643586,1381430
2.200000,149.481,100000043.009942,5979245,53356064,4629029,1350216
2.300000,148.322,100000075.879902,5932897,59435161,4607442,1325455
2.400000,146.901,100000030.116141,5876028,65291863,4570065,1305963
2.500000,145.708,100000067.748752,5828314,70886446,4537768,1290546
2.600000,144.677,100000022.762198,5787090,76192578,4508734,1278356
2.700000,143.956,100000033.467126,5758239,81194243,4489524,1268715
2.800000,143.189,100000060.622026,5727567,85801031,4466107,1261460
2.900000,142.605,100000000.267696,5704188,90082054,4448502,1255686
3.000000,142.342,100000078.091179,5693671,94060765,4442611,1251060
