mu, eta, distance, targets, number-of-flights, inside, outside
1.100000, 0,  100000033.390619, 0, 3531489, 35585, 1864912
1.200000, 0,  100000045.399837, 0, 4399495, 40924, 1814459
1.300000, 0,  100000037.185422, 0, 5596062, 44634, 1758446
1.400000, 0,  100000016.751930, 0, 7156091, 45304, 1700762
1.500000, 0,  100000039.718972, 0, 9096393, 43499, 1645547
1.600000, 0,  100000009.091389, 0, 11393339, 40962, 1594081
1.700000, 0,  100000034.919781, 0, 14029337, 37772, 1546868
1.800000, 0,  100000009.954859, 0, 16937370, 34604, 1505690
1.900000, 0,  100000042.956350, 0, 20031619, 30826, 1470337
2.000000, 0,  100000065.781778, 0, 23291029, 27850, 1440063
2.100000, 0,  100000013.420515, 0, 26585697, 24600, 1414173
2.200000, 0,  100000002.512255, 0, 29882508, 22044, 1393229
2.300000, 0,  100000007.061907, 0, 33133161, 19434, 1375266
2.400000, 0,  100000006.354033, 0, 36278606, 17266, 1360274
2.500000, 0,  100000014.073574, 0, 39306558, 15349, 1347890
2.600000, 0,  100000017.813373, 0, 42190478, 13905, 1338287
2.700000, 0,  100000042.172832, 0, 44893208, 12092, 1330122
2.800000, 0,  100000016.813635, 0, 47453148, 10626, 1323574
2.900000, 0,  100000075.479961, 0, 49845636, 9654, 1318001
3.000000, 0,  100000040.992093, 0, 52079628, 8724, 1313748
