(alpha=0.50),(alpha=1.00),(alpha=1.50),(alpha=2.00)
-612100044.705092,-2.610855,-1.746688,-nan
0.116468,-0.639167,-nan,1.095127
2.031524,-1.544060,-nan,-nan
1.806921,1.403521,-nan,-nan
1.349813,-2.226821,-nan,0.971223
2.078055,1.095634,0.402939,-nan
0.046935,1.185227,-nan,0.213399
0.148842,-0.739644,-nan,-nan
-1.062378,-2.130336,0.521273,-0.230147
0.046641,0.505235,0.082429,-1.589246
-2.077800,0.818680,-nan,-nan
-3.461995,-2.565393,0.665727,-nan
1.290506,-0.492282,0.102248,-1.590864
-0.177026,-0.185967,-nan,-0.086443
-1.047822,-0.493031,0.522083,-nan
1.483297,-0.195592,-nan,-nan
-0.143723,0.322441,-2.811601,-nan
2.935094,0.594772,-0.930579,0.217623
0.848143,-0.762483,-11.673406,-0.871092
-0.548268,-1.782091,-3.371911,-nan
-1.162385,-0.012160,4.004667,-nan
-0.688105,0.400164,-nan,-0.604519
-0.734020,-2.132328,-nan,-nan
1.167244,-0.563678,2.357281,1.582235
0.498505,0.846074,-3.330647,0.729834
0.734398,-1.141703,0.526300,-0.501124
0.301090,-1.827365,-nan,-nan
-1.141890,1.492898,0.326305,-0.529445
-1.681469,-2.469538,0.135974,-0.450333
-0.552152,-1.225407,-2.703452,-0.094871
2.010618,3.723225,0.482408,-nan
-6.873283,3.737384,-nan,0.905656
-3.432250,-1.601392,1.438001,0.160115
1.198705,-1.955889,-0.113546,-nan
3.064007,0.322889,-nan,-nan
-1.651652,-0.216520,-nan,1.068541
-0.659789,0.728866,-2.356885,-nan
-0.943579,-1.533448,-nan,-nan
-0.084384,1.409300,-nan,0.251348
-4.773361,-3.167960,-nan,-nan
-1.567882,-1.326623,-nan,-0.116763
-1.104274,1.038174,-nan,-nan
-1.345493,1.510995,0.502839,-0.142149
-0.896281,-2.686531,2.048974,-nan
-1.171403,1.537737,0.071965,0.005746
1.179013,-0.325906,-nan,-nan
-1.958269,-0.923208,-nan,-nan
-1.318308,0.228837,-nan,0.039850
