mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,74.6989,100053.916590,2348,10184,623,1725
1.200000,103.959,100000.726120,3266,28933,1590,1676
1.300000,150.564,100040.309812,4732,94175,3119,1613
1.400000,226.642,100039.813918,7123,332607,5585,1538
1.500000,327.594,100013.028995,10293,1098552,8845,1448
1.600000,427.314,100033.848601,13429,3215370,12063,1366
1.700000,564.845,100078.080291,17759,9500779,16480,1279
1.800000,707.26,100066.490217,22234,25172724,21013,1221
1.900000,763.289,100077.395615,23998,59442246,22833,1165
2.000000,845.829,100020.630577,26578,119034834,25440,1138
2.100000,871.656,100044.267518,27396,204788484,26271,1125
2.200000,828.051,100038.419498,26024,302404090,24900,1124
2.300000,843.383,100065.419042,26513,405497898,25391,1122
2.400000,857.347,100024.681237,26941,501873774,25820,1121
2.500000,781.414,100008.763884,24551,587931780,23429,1122
2.600000,711.354,100036.532790,22356,663189934,21232,1124
2.700000,692.983,100042.761079,21780,730137004,20655,1125
2.800000,657.686,100063.875847,20675,788525835,19549,1126
2.900000,581.787,100080.055326,18292,840809971,17165,1127
3.000000,612.407,100060.560963,19251,886794554,18124,1127
