(alpha=0.10 x ell=1.00),(alpha=0.20 x ell=1.00),(alpha=0.30 x ell=1.00),(alpha=0.40 x ell=1.00),(alpha=0.50 x ell=1.00),(alpha=0.60 x ell=1.00),(alpha=0.70 x ell=1.00),(alpha=0.80 x ell=1.00),(alpha=0.90 x ell=1.00),(alpha=1.00 x ell=1.00),(alpha=1.10 x ell=1.00),(alpha=1.20 x ell=1.00),(alpha=1.30 x ell=1.00),(alpha=1.40 x ell=1.00),(alpha=1.50 x ell=1.00),(alpha=1.60 x ell=1.00),(alpha=1.70 x ell=1.00),(alpha=1.80 x ell=1.00),(alpha=1.90 x ell=1.00),(alpha=2.00 x ell=1.00)
-307013088262025242484345166177625140146774205664411858327307335853306860232842234428753521578896209758555207630848.000000,-22.793782,-0.020413,-11.212631,0.053591,-2.796263,9.126855,0.109043,0.919930,-0.985282,2.229132,3.002717,1.692669,1.844790,-1.510381,6.956387,1.109377,-2.242793,-2.414290,0.660648 
0.000000,0.005181,2.984303,-2.181645,0.012961,0.519794,2.876160,0.066331,0.134696,-1.677148,1.849060,-2.559841,-0.865595,-1.382271,0.495551,-0.144998,0.050313,0.523082,0.095446,-0.965604 
-0.000619,1031.890751,14285.198208,-11.186665,-0.555262,-23516.767046,0.201528,-21.675103,1.245846,-0.786281,0.080986,-0.782960,-0.146141,-0.167548,2.603652,-0.081680,-0.873781,-0.913288,0.478364,-1.265218 
2314246.623662,-9751.211113,7.094302,-2.228363,-0.009151,0.588156,-1.824025,3.433495,6.442907,4.507807,-0.577148,0.460023,0.916612,-1.478367,-2.545947,-0.436580,-0.606657,-1.757707,-2.138220,-2.655348 
-17.209398,-14.107749,0.059606,-7.872869,-0.393379,0.266271,-13.751373,-0.298649,-1.838428,-1.616630,-2.627514,19.037233,1.254613,-0.544533,1.103727,0.793409,0.553361,0.871388,-2.139740,0.509198 
0.000415,-0.684426,2.869553,-0.349065,1.329435,-1.340407,-17.890354,30.469568,-1.408759,4.879155,0.159996,-0.195654,-1.571252,-4.122525,0.156909,-0.306618,-0.584664,-1.036299,-1.809024,-0.096442 
11329.941086,0.007574,16.673466,-0.643660,-315.760394,1.006067,15.163140,0.581142,-4.173780,-97.873956,1.215184,0.135454,1.071176,-1.373112,-0.073331,-1.834386,3.347226,0.371974,-0.711425,-3.546474 
-0.057863,-0.985227,-4.397717,0.472549,-0.287962,1.312344,-0.385772,5.734237,-1.129571,-0.438677,2.120383,-4.159624,-0.076007,5.461318,1.581803,0.281409,-3.552446,-4.750707,-2.500874,0.364301 
-833.503525,-52.744074,-10.503693,-9.704018,-0.067900,102.926248,2.511100,1.830248,-1.294298,20.957520,0.260836,-0.109072,-0.825455,-2.899216,1.122767,1.334143,-1.349238,1.492362,0.088356,0.005552 
0.010874,-0.008990,3.795421,588.869999,-7.982478,-15.875319,1.812621,1.885465,-1.376882,0.486903,-2.753311,0.024705,1.814060,0.547203,-0.804103,1.102200,-0.096027,-1.722406,0.025127,-3.960477 
0.000150,12.900011,-741.233992,0.313954,0.100205,3.613938,-28.689413,-0.198339,-1.133860,0.227668,-0.998679,-5.663660,-4.699008,0.110868,-3.046548,0.002965,-0.031572,-2.540107,1.628986,0.511710 
-161656.447570,-35.077955,-154.132280,-0.848370,0.232252,1.945339,2.224770,0.023214,-6.590030,2.155750,1.780629,1.184378,-5.962560,0.810258,-0.340053,-2.501367,-1.889836,1.848114,-3.491631,-1.567486 
0.934077,1.093715,-0.047445,-1.137808,1.881311,-2.319602,1.189096,0.147001,0.145536,4.062336,0.717039,-0.456233,0.673631,-8.166700,0.909212,-1.698766,-4.520382,-1.496364,-0.648622,0.073561 
-1100.613749,4.669607,-55.297275,-0.240911,-0.556185,-2.283045,-1.362173,-0.113910,-2.378939,0.481485,8.562935,-0.430262,-5.188366,-0.429001,1.219899,0.523266,0.101869,0.893105,1.583000,-1.793748 
